,precision,recall,fscore,accuracy,auc,miss_rate,fall_out_rate
0,0.2,0.40540540540540543,0.26785714285714285,0.8295218295218295,0.6351351351351352,0.05513784461152882,0.13513513513513514
1,0.17142857142857143,0.36363636363636365,0.23300970873786409,0.8357588357588358,0.617086038961039,0.05223880597014925,0.12946428571428573
2,0.1348314606741573,0.42857142857142855,0.20512820512820512,0.8066528066528067,0.6292967518133081,0.041237113402061855,0.16997792494481237
3,0.0945945945945946,0.5833333333333334,0.16279069767441862,0.8503118503118503,0.7202380952380953,0.012224938875305624,0.14285714285714285
4,0.09859154929577464,0.30434782608695654,0.14893617021276595,0.8336798336798337,0.5823049174102904,0.0399002493765586,0.13973799126637554
5,0.1267605633802817,0.375,0.18947368421052632,0.83991683991684,0.6196663019693655,0.03712871287128713,0.13566739606126915
6,0.12048192771084337,0.38461538461538464,0.1834862385321101,0.814968814968815,0.612087912087912,0.04081632653061224,0.16043956043956045
7,0.16842105263157894,0.5517241379310345,0.25806451612903225,0.8087318087318087,0.6884726884345438,0.033419023136246784,0.1747787610619469
8,0.1232876712328767,0.3333333333333333,0.18,0.8295218295218295,0.5961820851688693,0.045112781954887216,0.14096916299559473
9,0.14814814814814814,0.48,0.22641509433962265,0.8295218295218295,0.6643421052631578,0.03258145363408521,0.1513157894736842
10,0.09333333333333334,0.3684210526315789,0.14893617021276595,0.8336798336798337,0.6106174527227158,0.029925187032418952,0.1471861471861472
11,0.1375,0.5,0.21568627450980393,0.8336798336798337,0.6748366013071895,0.02743142144638404,0.1503267973856209
12,0.14285714285714285,0.4074074074074074,0.21153846153846154,0.8295218295218295,0.6310164790341002,0.040100250626566414,0.14537444933920704
13,0.17105263157894737,0.52,0.25742574257425743,0.8440748440748441,0.690921052631579,0.029556650246305417,0.13815789473684212
14,0.14084507042253522,0.5263157894736842,0.2222222222222222,0.8544698544698545,0.6971405787195261,0.021897810218978103,0.13203463203463203
15,0.1038961038961039,0.42105263157894735,0.16666666666666666,0.8336798336798337,0.635850991114149,0.02743142144638404,0.14935064935064934
16,0.14516129032258066,0.34615384615384615,0.20454545454545456,0.8544698544698545,0.6148351648351649,0.0413625304136253,0.11648351648351649
17,0.07777777777777778,0.4375,0.1320754716981132,0.8087318087318087,0.629502688172043,0.02313624678663239,0.17849462365591398
18,0.11538461538461539,0.47368421052631576,0.18556701030927836,0.8357588357588358,0.6621667805878332,0.024875621890547265,0.14935064935064934
19,0.08333333333333333,0.3181818181818182,0.1320754716981132,0.8087318087318087,0.5752129134482076,0.038560411311053984,0.16775599128540306
20,0.0875,0.2916666666666667,0.1346153846153846,0.8128898128898129,0.5659646243617797,0.043478260869565216,0.15973741794310722
21,0.13924050632911392,0.44,0.21153846153846154,0.8295218295218295,0.645438596491228,0.03508771929824561,0.14912280701754385
22,0.16455696202531644,0.4642857142857143,0.24299065420560748,0.8316008316008316,0.659295175023652,0.0375,0.1456953642384106
