,Mean Accuracy,Mean AUC,Mean Miss Rate
XGBoost,0.9827649769585254,0.87939637729525,0.01752313308707117
RandomForest,0.983241167434716,0.8073566592639526,0.016951336443105
DecisionTree,0.9647926267281107,0.6265675207309023,0.012931029144123201
TabTransformer,0.9831797242164612,0.7716919481754303,0.017062124800185072
MLP,0.9825960040092468,0.8314574956893921,0.017275670196695812
