,Mean Accuracy,Mean AUC,Mean Miss Rate
XGBoost,0.9828571428571429,0.8996308878119657,0.01744329723451058
RandomForest,0.9898310291858679,0.9376691875859496,0.01013471096334375
DecisionTree,0.978878648233487,0.7241090513646635,0.00952759339040457
TabTransformer,0.9831029117107392,0.7728888094425201,0.01706343292338463
MLP,0.9833640456199646,0.8979857444763184,0.0164655462248557
