,precision,recall,fscore,accuracy,auc,miss_rate,fall_out_rate
0,0.171875,0.6111111111111112,0.2682926829268293,0.8752598752598753,0.7483201343892489,0.0166270783847981,0.11447084233261338
1,0.2033898305084746,0.6,0.3037974683544304,0.8856548856548857,0.7490238611713667,0.018779342723004695,0.1019522776572668
2,0.23636363636363636,0.4642857142857143,0.3132530120481928,0.8814968814968815,0.6857852412488175,0.03537735849056604,0.09271523178807947
3,0.16417910447761194,0.5,0.24719101123595505,0.8607068607068608,0.6889978213507625,0.026570048309178744,0.12200435729847495
4,0.10526315789473684,0.42105263157894735,0.16842105263157894,0.8357588357588358,0.6369332421964001,0.02736318407960199,0.1471861471861472
5,0.13846153846153847,0.34615384615384615,0.1978021978021978,0.8482328482328483,0.6115384615384616,0.041666666666666664,0.12307692307692308
6,0.18571428571428572,0.5652173913043478,0.27956989247311825,0.8607068607068608,0.720381621416366,0.024154589371980676,0.12445414847161572
7,0.18421052631578946,0.45161290322580644,0.2616822429906542,0.8357588357588358,0.6569175627240144,0.04228855721393035,0.13777777777777778
8,0.15789473684210525,0.45,0.23376623376623376,0.8773388773388774,0.6729392624728849,0.026066350710900472,0.10412147505422993
9,0.1509433962264151,0.4444444444444444,0.22535211267605634,0.8856548856548857,0.6736261099112071,0.023474178403755867,0.09719222462203024
10,0.16901408450704225,0.5217391304347826,0.2553191489361702,0.8544698544698545,0.6964590848680463,0.0267639902676399,0.12882096069868995
11,0.14814814814814814,0.34782608695652173,0.2077922077922078,0.8731808731808732,0.6236947028669072,0.03571428571428571,0.10043668122270742
12,0.13043478260869565,0.5294117647058824,0.20930232558139536,0.8586278586278586,0.7000507099391481,0.01937046004842615,0.12931034482758622
13,0.23529411764705882,0.6451612903225806,0.3448275862068966,0.841995841995842,0.7503584229390681,0.027160493827160494,0.14444444444444443
14,0.1388888888888889,0.4,0.20618556701030927,0.83991683991684,0.632017543859649,0.03712871287128713,0.13596491228070176
15,0.05,0.17647058823529413,0.07792207792207792,0.8523908523908524,0.5268128803245437,0.03414634146341464,0.12284482758620689
16,0.19642857142857142,0.39285714285714285,0.2619047619047619,0.8711018711018711,0.646759697256386,0.0405727923627685,0.09933774834437085
17,0.19736842105263158,0.6,0.297029702970297,0.8523908523908524,0.7331140350877193,0.024390243902439025,0.1337719298245614
18,0.12857142857142856,0.47368421052631576,0.20224719101123595,0.8523908523908524,0.6708247892458419,0.024390243902439025,0.13203463203463203
19,0.15853658536585366,0.5416666666666666,0.24528301886792453,0.8336798336798337,0.6953409919766593,0.02743142144638404,0.15098468271334792
20,0.13043478260869565,0.5625,0.21176470588235294,0.8607068607068608,0.7167338709677419,0.016908212560386472,0.12903225806451613
21,0.17307692307692307,0.36,0.23376623376623376,0.8773388773388774,0.6328508771929824,0.037914691943127965,0.09429824561403509
22,0.1935483870967742,0.3870967741935484,0.25806451612903225,0.8565488565488566,0.6379928315412187,0.04611650485436893,0.1111111111111111
23,0.2676056338028169,0.7037037037037037,0.3877551020408163,0.8752598752598753,0.7945831293848915,0.019002375296912115,0.1145374449339207
24,0.14705882352941177,0.3225806451612903,0.20202020202020202,0.8357588357588358,0.5968458781362007,0.05223880597014925,0.1288888888888889
25,0.15151515151515152,0.43478260869565216,0.2247191011235955,0.8565488565488566,0.6562559331687868,0.03155339805825243,0.1222707423580786
26,0.14705882352941177,0.5,0.22727272727272727,0.8586278586278586,0.6870932754880694,0.024213075060532687,0.12581344902386118
27,0.12162162162162163,0.5,0.1956521739130435,0.8461538461538461,0.6798056155507559,0.022113022113022112,0.14038876889848811
28,0.16393442622950818,0.37037037037037035,0.22727272727272727,0.8586278586278586,0.6290177843041279,0.04116222760290557,0.11233480176211454
29,0.1935483870967742,0.5,0.27906976744186046,0.8711018711018711,0.6952954048140044,0.028639618138424822,0.10940919037199125
30,0.19672131147540983,0.46153846153846156,0.27586206896551724,0.8690228690228691,0.676923076923077,0.03349282296650718,0.1076923076923077
31,0.18181818181818182,0.631578947368421,0.2823529411764706,0.8731808731808732,0.7573479152426521,0.016666666666666666,0.11688311688311688
32,0.16666666666666666,0.4,0.23529411764705882,0.8378378378378378,0.6334811529933481,0.04466501240694789,0.13303769401330376
33,0.19230769230769232,0.6818181818181818,0.3,0.8544698544698545,0.7722816399286987,0.0170316301703163,0.13725490196078433
34,0.19047619047619047,0.36363636363636365,0.25,0.8503118503118503,0.6248985389610391,0.05134474327628362,0.11383928571428571
