,precision,recall,fscore,accuracy,auc,miss_rate,fall_out_rate
0,0.16551724137931034,0.6486486486486487,0.26373626373626374,0.7214137214137214,0.6880630630630631,0.037463976945244955,0.2725225225225225
1,0.14285714285714285,0.5757575757575758,0.2289156626506024,0.7338877338877339,0.6606466450216449,0.039660056657223795,0.2544642857142857
2,0.12698412698412698,0.5714285714285714,0.2077922077922078,0.7463617463617463,0.6643014821822768,0.033426183844011144,0.24282560706401765
3,0.06569343065693431,0.75,0.12080536912751678,0.7276507276507277,0.7385394456289979,0.008571428571428572,0.27292110874200426
4,0.12380952380952381,0.5652173913043478,0.203125,0.7879417879417879,0.6821720144294664,0.026385224274406333,0.20087336244541484
5,0.11627906976744186,0.625,0.19607843137254902,0.7442827442827443,0.68777352297593,0.025139664804469275,0.24945295404814005
6,0.1450381679389313,0.7307692307692307,0.24203821656050956,0.7525987525987526,0.7423076923076923,0.019337016574585635,0.24615384615384617
7,0.14492753623188406,0.6896551724137931,0.23952095808383234,0.735966735966736,0.7142966127555691,0.025423728813559324,0.2610619469026549
8,0.14173228346456693,0.6666666666666666,0.23376623376623376,0.7546777546777547,0.7132892804698971,0.024793388429752067,0.24008810572687225
9,0.11627906976744186,0.6,0.19480519480519481,0.7422037422037422,0.675,0.028011204481792718,0.25
10,0.11666666666666667,0.7368421052631579,0.2014388489208633,0.7692307692307693,0.7537024379129642,0.013513513513513514,0.22943722943722944
11,0.11764705882352941,0.6363636363636364,0.19858156028368795,0.7650727650727651,0.7038027332144979,0.021739130434782608,0.22875816993464052
12,0.13043478260869565,0.5555555555555556,0.2112676056338028,0.7671517671517671,0.6676456191874695,0.032520325203252036,0.22026431718061673
13,0.136,0.68,0.22666666666666666,0.7588357588357588,0.7215789473684211,0.021917808219178082,0.23684210526315788
14,0.12396694214876033,0.7894736842105263,0.21428571428571427,0.7713097713097713,0.7800182273866484,0.01078167115902965,0.22943722943722944
15,0.09352517985611511,0.6842105263157895,0.16455696202531644,0.7255717255717256,0.7057416267942583,0.017191977077363897,0.2727272727272727
16,0.14736842105263157,0.5384615384615384,0.23140495867768596,0.8066528066528067,0.6802197802197801,0.030927835051546393,0.17802197802197803
17,0.07092198581560284,0.625,0.12738853503184713,0.7151767151767152,0.6716397849462366,0.01744186046511628,0.2817204301075269
18,0.1,0.631578947368421,0.17266187050359713,0.760914760914761,0.6989063568010937,0.01912568306010929,0.23376623376623376
19,0.09701492537313433,0.5909090909090909,0.16666666666666666,0.7297297297297297,0.6636462665874431,0.02564102564102564,0.2636165577342048
20,0.11594202898550725,0.6666666666666666,0.19753086419753085,0.7297297297297297,0.6998541210795041,0.022792022792022793,0.26695842450765866
21,0.15671641791044777,0.84,0.2641509433962264,0.7567567567567568,0.7960964912280701,0.01098901098901099,0.24780701754385964
22,0.15441176470588236,0.75,0.25609756097560976,0.7463617463617463,0.7480684326710818,0.019498607242339833,0.25386313465783666
23,0.14150943396226415,0.5357142857142857,0.22388059701492538,0.7837837837837838,0.6674156417533901,0.034482758620689655,0.20088300220750552
24,0.14074074074074075,0.7307692307692307,0.2360248447204969,0.7442827442827443,0.737912087912088,0.019553072625698324,0.2549450549450549
25,0.16521739130434782,0.5588235294117647,0.2550335570469799,0.7692307692307693,0.6720292143703118,0.04054054054054054,0.21476510067114093
